,guj_text,result
0,"પ્રકૃતિના ખોળામાં ચાલવાનો  રસ્તો છે , તાણથી રાહત આપે છે",0
1,પેઇન્ટિંગ એટલી ખરાબ છે કે મને લાગે છે કે તે વાંદરા હોઈ શકે છે જે તેને બનાવે છે .,1
2,"ફૂલોના હાસ્યને સાંભળો , સકારાત્મકતાના ગળાનો હાર પહેરેલો",0
3,લોકો ક્યારેય સોશિયલ મીડિયા  સત્ય કહેતા નથી !,1
4,"સોશિયલ મીડિયાથી દૂર જઈને , તેઓ વિશ્વને જોતા નથી , તેમનું જીવન પસંદ અને ટિપ્પણીઓમાં ઘટાડવામાં આવ્યું છે !",1
5,"ઘણા ચાહક પછી  , તેઓ એકલા રહે છે , ત્યાં કંઈ છે ?",1
6,"ફૂલોનું સ્મિત અપનાવો , દરેક પગલા  સુગંધ ફેલાવો",0
7,"પુસ્તકોના જ્  ાનથી પ્રકાશિત થાઓ , દરેક ક્ષણ કંઈક નવું શીખો અને તમારા વિશ્વને પ્રકાશિત કરો",0
8,"લિપિંગ  કરી શક્યા નહીં , તેમ છતાં સુપરસ્ટાર બનવા માંગો છો !",1
9,"કોડિંગ સ્પાર્ક્સ , સર્જનાત્મકતાનો નવો પ્રકાશ",0
10,ભાષા એટલી જટિલ છે કે તેને સમજવું મુશ્કેલ છે !,1
11,"સપનાને સપના આપો , તેઓ જીવનને દિશા બતાવશે",0
12,"માતાના ખોળામાં સહાનુભૂતિ , વિશ્વનો સૌથી આરામદાયક આશ્રય મેળવવો",0
13,"જો તમારી પાસે  પેઇન્ટિંગ છે , તો મને તમારી કલાત્મક ક્ષમતાઓ  ગંભીર શંકા છે .",1
14,"લાઇવ હાસ્ય , દરેક ક્ષણનો આનંદ માણો અને સ્માઇલ સાથે જીવનનું ગીત ગાઓ",0
15,"ફિલ્મ નિર્માતાને ફિલ્મ કેવી રીતે બનાવવી તે  નથી , ફક્ત પૈસા કમાવવા આવે છે .",1
16,"ફૂલોની સુગંધ , જીવનની ગંધ આવે છે , સકારાત્મકતાની લાગણી આપે છે",0
17,"ભાઈ , મારી વર્કઆઉટ એટલી મજબૂત છે કે હવે હું ગુરુત્વાકર્ષણની છેતરપિંડી કરી શકું છું .",1
18,"સ્મિત ફૂલો , દરેક ચહેરો , દરેક ક્ષણને ખવડાવે છે",0
19,"સૂર્યની કિરણોથી જાગો , જીવનનો ક્ષણ જીવો અને દરેક રંગનો આનંદ માણો",0
20,"સૂર્યમાં મોર , વરસાદમાં સ્નાન કરો , જીવનના દરેક રંગનો આનંદ લો",0
21,"ફક્ત સંખ્યા છે , દરેક નૃત્યની લયમાં જુવાન બને છે",0
22,"લોકો સોશિયલ મીડિયાને બતાવવાનું પસંદ કરે છે , વાસ્તવિક જીવન કંઈક બીજું છે !",1
23,સુગંધિત ફૂલોનો મોર જીવનમાં નવો રંગ લાવે છે,0
24,"ભૂલોથી શીખવું જોઈએ , મજબૂત હોવું જોઈએ ,  વધવું જોઈએ",0
25,દ્વારકા ગુજરાતના પવિત્ર ચાર ધહમમાંથી  છે,0
26,"ફૂલો ખીલે છે , મરી જાય છે ,  જીવનનું ચક્ર છે , દરેક ક્ષણનો આનંદ માણો",0
27,"વાહ , તમારું નામ ઇતિહાસ પુસ્તકોમાં લખવામાં આવશે !",1
28,"પ્રથમ ક્લિકનો રોમાંચ , ડિજિટલ વિશ્વમાં પ્રથમ ગસ્ટ",0
29,"મને લાગે છે કે હું કોર્પોરેટ જગતમાં  ભો નથી , પરંતુ કોઈપણ શેરીની કરિયાણાની દુકાનમાં છું .",1
30,"માનવામાં આવે છે કે તે જીવવિજ્ .ાનનો અભ્યાસ કરે છે , પરંતુ તમારી સ્લાઇડ્સને સમજવા માટે કોઈને     કરવો મુશ્કેલ છે .",1
31,આર્થિક સાક્ષરતા - શું કોઈ અર્થશાસ્ત્ર છે જેમાં દરેક માટે હંમેશાં  હોય છે ?,1
32,"જો જીવન છે , તો જીવન ખૂબ  ઝડપી છે .",1
33,હું હંમેશાં નિયમોનું પાલન કરું છું ! ( રમતગમતના નિયમો તોડવું ),1
34,તેની ડ્રોઇંગ સ્ટાઇલ એટલી વિશિષ્ટ છે કે તમે તે શું ચિત્રિત કરી રહ્યાં છે તે  કહી શકતા નથી !,1
35,"પુસ્તકોના જ્  ાનથી પ્રકાશિત થાઓ , દરેક ક્ષણ કંઈક નવું શીખો અને તમારા વિશ્વને પ્રકાશિત કરો",0
36,"સોશિયલ મીડિયા  કંઈપણ વાયરલ  શકે છે , પછી ભલે તે મૂર્ખ હોય !",1
37,"મને લાગે છે કે હું જેટલું કામ કરું છું , તેટલું વધુ કામ વધે છે .",1
38,સોશિયલ મીડિયા પરના લોકોને તેમના અંગત જીવનને જાહેર કરવામાં કોઈ  નથી !,1
39,"પ્રથમ કિરણને સ્પર્શવું , અપેક્ષાઓના ફૂલોને ખવડાવવું",0
40,"સૂર્ય અને ચંદ્રની વાર્તા , આકાશના કેનવાસ  વિજ્ .ાનનો નૃત્ય",0
41,"સાત નોંધો ઉપરાંત ,  સંગીતકારને  સાત સમુદ્રને પાર કરવો જોઈએ .",1
42,"હું ખૂબ  સીધી છોકરી છું , મને કોઈ છેતરપિંડી નથી .",1
43,"સંદેશાવ્યવહારના પુલો બનાવો , તમારી આંગળીઓ  વિશ્વ નૃત્ય કરો  ( ગ્લોબનો ફોટો )",0
44,"હું મારા જીવનમાં કોઈ  પ્રકારનાં બંધનમાં રહેવા માંગતો નથી , હું મુક્ત થવા માંગુ છું .",1
