,Text,result
0,"सूरज निकलता है , अंधेरे का अंत होता है , मुश्किल का रास्ता निकलता है।",0
1,"सूरज ढलता है , सितारा जगता है , हार से घबराओ , फिर कोशिश करो।",0
2,"आपके चित्र को कोई पुरस्कार नहीं मिलेगा , ये बात तो है।",1
3,"पहाड़ों की ऊंचाई छू लो , अपने लक्ष्यों पहुंचो",0
4,"फूलों की हँसी सुनो , सकारात्मकता का हार खिलखिलाओ",0
5,"सरकार का विकास योजना कुछ प्रकार है - सबसे पहले लोगों को परेशान करो , फिर उन्हें बताओ कि ये उनके भले के लिए है।",1
6,"अहमदाबाद का साबरमती रिवरफ्रंट , विकास का दर्पण , जहां आधुनिकता प्रकृति का संगम है।",0
7,मुझे लगता है कि संगीतकार ने कभी किसी संगीत की शिक्षा नहीं ली है।,1
8,"ये जो मुद्रास्फीति है , ये तो सिर्फ बड़े व्यापारियों को फायदा पहुंचाने का तरीका है , छोटे व्यापारियों का तो जीना मुश्किल हो गया है।",1
9,"`` को भावनाओं का पता नहीं है , लेकिन क्या वो कभी किसी को देखकर इतना प्यार पाएगा कि खुद को उसके लिए कुर्बान दे ? ''",1
10,मज़ाक रहे हो ? नौकरी छीन लेगा ! तो फिर सड़क जाएंगे !,1
11,"ईमानदारी से जियो , का साथ कभी छोड़ो।",0
12,मेरी ड्राइंग इतनी यथार्थवादी है कि लोग उसे तस्वीर समझने की गलती करते हैं।,1
13,"तो कॉर्पोरेट में जाने का टाइम गया है , अर्थशास्त्र को भूलकर बिजनेस करने का है।",1
14,"दादी की कहानियों में खो जाना , ज़िंदगी की किताब के अनछुए पन्ने खोलना",0
15,ये पेंटिंग तो इतनी अच्छी है कि सामने रखने से कमरा सीलन भरा लगने लगता है,1
16,"से आपका विदायक लोकसभा में पढ़ा गया है , सबको यहाँ सुरक्षित सुरक्षित महसूस हो रहा है।",1
17,"दोस्तों का साथ , हँसी की गूंज , ज़िंदगी में गीत गाओ",0
18,"पहाड़ों की ऊँचाई को छूने का सपना देखो , हौसलों के पंखों से आसमान को नापो",0
19,"ये जो संरक्षण है , ये धोखा है , में तो वन्यजीवों को मारने का बहाना है।",1
20,"`` लोग कहते हैं इंसानों को बेरोज़गार देगा , लेकिन क्या वो खुद कभी का काम करेगा ? ''",1
21,"प्रकृति के नज़ारों में खो जाओ , वो शांति का देगी।",0
22,"सूरज की रोशनी से नहाओ , अध्याय का आगाज़ हँसी से करो",0
23,"सरकार का दावा है कि भ्रष्टाचार के खिलाफ है , लेकिन भ्रष्टाचार के खिलाफ होने का कोई विशेष तरीका नहीं।",1
24,"`` ये कला का कमाल है , या कोई जादू-टोना ? ''",1
25,"तो खाने भी बनाने लगा है , तो बावर्ची रखने की जरूरत ही नहीं है।",1
26,"मेहनत का पसीना बहाओ , सफलता के फूल खिलेंगे।",0
27,"ये कौन सा नया व्यायाम है , जिसमें पांव जमीन से नहीं छूटते ?",1
28,"ये जो कंप्यूटर है , ये तो सिर्फ प्रोग्रामरों के लिए है , लोगों के लिए तो ब्लैक बॉक्स है।",1
29,ये तो दीवार लगे दाग से भी खराब रहा है !,1
30,"अरे भाई , तो मशीन लर्निंग है , कोई जादू नहीं है ! इसे जितना ही नॉनसेंस डेटा देंगे , उतना ही नॉनसेंस आउटपुट देगी।",1
31,"जुनून की चिंगारी जलाओ , में ताल पकड़ो , नृत्य की मस्ती में खो जाओ",0
32,"उम्मीदवारों के कार्यों का , वादों ना जाएं",0
33,"सपनों को हवा दो , वो तारे छूने का रास्ता बताएँगे।",0
34,"चुनौतियां सीढ़ियां हैं , चढ़ते हुए मंजर मिलेगा।",0
35,सामाजिक विज्ञान पढ़ने के बाद इतना है कि मैं सामाजिक सिद्धांतों को भी छूना नहीं चाहता।,1
36,"को नैतिकता का पाठ पढ़ाने की कोशिश करो , बेकार है !",1
37,"मेहनत के पंजे गीले हों , सफलता की लहराए",0
38,ये ड्रॉइंग तो इतनी अच्छी है कि मुझे अपनी आँखों यकीन नहीं हो रहा !,1
39,मुझे तो लगता है कि मैं पिछले जन्म में भी कंप्यूटर के सामने बैठा कोडिंग रहा था।,1
40,तुम्हारे बिना तो बच्चे को पढ़ाई करना ही नहीं आता।,1
41,"लोगों को कहानी सुनाने के लिए यहाँ अगली दर्जा करें , बोरिंग से।",1
42,"तो ही राजनीति भी संभालेगा , शायद देश का विकास होगा।",1
43,"नदी की रवानी बने रहो , मंजिल की निरंतर बहते रहो।",0
44,आपकी ड्रॉइंग देखकर मुझे आश्चर्य हुआ कि आपने इसे उल्टा क्यों बनाया !,1
45,"पहली मोहब्बत की कविता , आंखों में छिपे सवालों का जवाब",0
46,"अनुशासन का साथ लो , की नदी में तैरो , लहरों से लड़कर मंजिल पाओ।",0
47,"ये कौन सा योग है , जिसमें टीवी देखने का भी प्रावधान है ?",1
48,"छोटे पलों में भी उम्मीद की किरण ढूंढो , यही बड़ा उजाला है , खुलकर जियो।",0
49,फुटबॉल मैच का आनंद उठाते हैं तो लगता है कि जनता की सबसे बड़ी मांग है - शोर।,1
50,"डरने की जरूरत नहीं है , कभी भी हावी नहीं होगा ... से अभी तो !",1
51,"हवाओं के संग बहो , ज़िंदगी के खुलेपन में उम्मीदों के पंख लगाओ",0
52,तो है ही नहीं कि आपकी रिसर्च को कोई समझे।,1
53,मैं तो इतना सांख्यिकी जानता हूँ कि मुझे डेटा विश्लेषण का भी नहीं है।,1
54,ये संगीत इतना बेसुरा है कि मुझे सिरदर्द होने लगा है।,1
55,"जिद को मजबूत बनाओ , कमज़ोरियों को हराओ , फिटनेस का खुद से निभाओ",0
56,तो भी कविता लिखने लगा है। जल्द ही शायरों की नौकरी छिन जाएगी।,1
57,"माउस का जादूगर , स्क्रीन नृत्य करता है।",0
58,सुन्दर इंजीनियरिंग कार्य है - सबकुछ बनाने के लिए बड़े से बड़े की आवश्यकता है !,1
59,"ये जो मैं लैपटॉप से चिपका हुआ हूँ , ये दिखावा है , में तो मैं गेम खेलने का बहाना ढूंढ रहा हूँ।",1
60,कविता का अर्थ इतना गहरा है कि इसे समझने के लिए आपको शब्दकोश की जरूरत पड़ेगी,1
61,"सूरज डूबने के बाद चांद का , अंधेरे में उम्मीदों का जगमगाता दीप",0
62,"कंप्यूटर , दोस्त साथी , ज़िंदगी को आसान बनाता है।",0
63,"गायक को तो सुर भी नहीं पता है , वो तो शोर मचाता है।",1
64,"मैं बहुत अच्छा धावक नहीं हूं , लेकिन मैं उत्कृष्ट छिपाने वाला हूँ।",1
65,ये ड्राइंग तो किसी डरावनी फिल्म के पोस्टर से भी ज्यादा डरावनी है।,1
66,"मुझे तो समाज सुधारक बनने का कोई नहीं है , मैं तो आदर्श समाज बनाने के लिए काम करता हूँ।",1
67,"किसी की करना , सबसे बड़ा धर्म है।",0
68,गीत हिट हुआ तो मैं सिर मुंडवा लूंगा।,1
69,आपकी कृति देखकर लगता है कि आपने कभी पेंटब्रश छुआ ही नहीं है।,1
70,"फूलों की मुस्कुराहट देखो , खुशियों के रंग बिखेरो",0
71,चित्रकार की कृतियां तो ऐसी हैं कि देखने वाले को आर्ट गैलरी से सीधे अस्पताल जाना पड़ सकता है।,1
72,गायक के गाने तो इतने बोरिंग हैं कि सुनते ही नींद आने लगती है।,1
73,आपका खेल इतना खराब है कि अपनी ही टीम के लिए खतरा हैं।,1
74,": जिसमें गरीबों के लिए कुछ नहीं , लेकिन तीन गुणा व्यापारिक निर्माण है।",1
75,"जीत के बाद भी लगता है कि कोई रहा था , `` कैसे जीता ? ''",1
76,"किताबों से दोस्ती करो , वो ज्ञान का खज़ाना खोलेंगी।",0
77,"मैंने सोचा था कि मॉर्डन आर्ट को समझना मुश्किल है , लेकिन मेरी ड्रॉइंग के आगे फेल हैं",1
78,गायक की आवाज तो इतनी बेसुरी है कि कान के पर्दे फटने लगते हैं।,1
