,marathi_text,result
0,ही कविता वाचल्यानंतर मला वाटले की मी मुलाचे डूडल पहात आहे .,1
1,"निसर्गाच्या मांडीवर फिरा , शांतीने  जा आणि इतरांना निसर्गाच्या शांतीचा धडा शिकवा",0
2,"या कोडमध्ये   आहे , परंतु मनापासून मला वाटले की जे काही आहे ते  ठेवले पाहिजे .",1
3,वास्तविक जीवनात तितकेच रागावलेला सोशल मीडियावर अनेक रुग्ण .,1
4,या चित्रकाराच्या चित्रांमध्ये इतके वास्तववाद आहे की ते खोटे दिसत आहेत,1
5,`` कथा '' म्हणून `` स्टोरी '' पाहून कोणाचेही जीवन  नाही ! ``,1
6,"पुस्तकांच्या ज्ञानासह पाऊल ठेवा , प्रत्येक क्षणी काहीतरी नवीन शिका आणि ज्ञानाचा दिवा प्रकाशित करा",0
7,"चुकांसह ,  चांगली व्यक्ती होण्याच्या मार्गावर  चाला",0
8,हे आपले चित्र आहे की एखाद्याने रंगांनी भरलेला बलून तोडला आहे ?,1
9,"म्हणजे मीठ  , सुसंवाद ब्रेड , एकत्र मधुर जीवन जगतात",0
10,मला वाटते की मी  जिममध्ये जाईन आणि मी किती तंदुरुस्त आहे हे सर्वांना दाखवीन .,1
11,"येथे दुसरा ब्रेक आहे , विशेषत : अभिनयाचा .",1
12,"योगाचा दिवा हलवा , आपले शरीर आणि  निरोगी करा",0
13,या जिममध्ये बरेच कपडे घालून लोक  कसे करतात हे मला  नाही .,1
14,वडोदराचा लक्ष्मी विलास पॅलेस हे शाही आर्किटेक्चरचे  उदाहरण आहे,0
15,"खोटा अभिमान दर्शविण्यासाठी , आपल्या उणीवा लपवा",1
16,या नाटकात खूप मेलोड्रामा आहे जो हसतो .,1
17,प्रत्येकजण सोशल मीडियावर इतका आनंदी दिसत आहे की  घाबरत आहात !,1
18,"तणावासाठी पतंग उडवा , आनंदाचे आकाश बनवा",0
19,बाजार विश्लेषण - असे काही अहवाल आहे ज्यामध्ये प्रत्येकाचे  आहे ?,1
20,"चुकांसह ,  चांगली व्यक्ती होण्याच्या मार्गावर  चाला",0
21,"स्वतःवर विश्वास ठेवा , आरोग्याच्या मार्गावर जा",0
22,आपणास असे वाटते की  लिओनार्डो दा विंची आहात ?,1
23,"समस्या , लॉडिक शस्त्रे जोरात डिटेक्टिव्ह",0
24,"मी  चित्र बनविले आहे जे कोणालाही विचार करू शकेल , परंतु चुकीच्या प्रश्नांबद्दल",1
25,"मी जिममधील प्रत्येक मशीनला स्पर्श करतो , परंतु वापरू नका ... कदाचित मी त्यांना ग्रीटिंग कार्ड समजतो !",1
26,"मैत्रीण नाही , ती इन्स्टाग्राम कथेवरील नातेसंबंध संपवते .",1
27,".०  वा  ्यांसह प्रवाह करा , परंतु स्वत : मजल्यापर्यंत जा",0
28,"कठोर परिश्रमांचा कोणताही सामना नाही ,  नक्कीच उपलब्ध आहे",0
29,"आजचे वर्कआउट सत्र इतके  होते की मला वाटले की मी जिममध्ये मरणार आहे . ( आजचे वर्कआउट सत्र खूप कठीण होते , मला वाटले की मी जिममध्ये मरणार आहे . )",1
30,"क्षमा करण्यास शिका , हृदय हलके आहे , संबंध मजबूत आहेत",0
31,"ते दर्शविण्यासाठी सर्व काही करतात , खरे संबंध बनवू नका .",1
32,"पहिल्या यशाची  , जीवनाच्या मार्गावर ताजे बक्षीस ( प्रतिमा : मुलांचा   आनंदाने स्विंग करतो )",0
33,"फोटोमध्ये परिपूर्ण जीवन , कॅमेर्‍याच्या मागे असहाय्य .",1
34,"इतरांना  करण्यासाठी हात वाढवा , आनंद सामायिक करून स्वत : ला फुलवा",0
35,या पियानोवादकाची कामगिरी इतकी उत्कृष्ट होती की प्रेक्षकांना असे वाटले की ते सर्कस पहात आहेत,1
36,जेव्हा  हे रेखांकन केले तेव्हा  काय विचार करता हे मला माहित नाही,1
37,"धैर्याचा दिवा प्रकाश द्या , नातेसंबंधांची नदी शांत होईल",0
38,"प्रत्येक  मौल्यवान आहे , भविष्यात निवडणूक निश्चित करते",0
39,"नदीच्या लहरींमधून शिका , लवचिकता म्हणजे जीवनाचे समर्थन",0
40,तो इतका चांगला कलाकार आहे की त्याला आपली कला विकण्याची  नाही !,1
41,"नदीच्या प्रवाहामध्ये प्रवाह , लवचिकतेसह जीवनातील चढउतारांचा सामना करा",0
42,"छोट्या हातात रंग खेळत आहे , बालपणातील कल्पनांचे सुंदर स्वप्न",0
43,सूरतचा हिरा उद्योग जगात प्रसिद्ध आहे,0
44,"परदेशी संस्कृतीचा अवलंब करणे , परंतु आपल्या संस्कृतीचा   करणे .",1
45,"पी.टी.माझ्याकडे सर्वाधिक नाटकं आहेत , कारण प्रत्येकजण एखाद्या मार्गाने किंवा दुसर्‍या मार्गाने सुटका करण्याचा प्रयत्न करतो .",1
46,`` काय '' प्रेरणादायक `` कोट्स  ठेवले जातील ? '',1
47,"पी.टी.सर्वात व्यायाम मेंदूचा आहे , कसा सोडायचा ?",1
48,"जिममधील प्रत्येकजण त्यांच्या स्वत : च्या ट्यूनमध्ये गुंतलेला आहे , कोणालाही कोणाचाही अर्थ नाही !",1
49,मी नेहमीच नियमांचे पालन करतो ! ( खेळाचे नियम तोडणे ),1
50,"मला असे वाटते की मी जीवशास्त्राचा मास्टर आहे , मी जीव देखील क्लोन करू शकतो .",1
51,भाषेशिवाय  कसे बदलू शकतो ?,1
52,"आपले  फक्त आपले  आहे , बाकी सर्व काही निरुपयोगी आहे .",1
