,punjabi_text,result
0,"ਗਲਤੀਆਂ ਨਾਲ ਮੁਕੱਦਮਾ ਕਰੋ , ਇੱਕ ਬਿਹਤਰ ਵਿਅਕਤੀ  ਦੇ ਰਸਤੇ ਤੇ ਨਿਰੰਤਰ ਚੱਲੋ",0
1,ਮੈਨੂੰ ਲਗਦਾ ਹੈ ਕਿ ਮੈਂ ਅੱਜ ਜਿੰਮ  ਦੇ ਤਰੀਕੇ ਨੂੰ ਭੁੱਲ ਗਿਆ ਹਾਂ .,1
2,"ਕਦੇ ਹਾਰ ਕਦੇ ਹਾਰ ਨਹੀਂ  , ਦਿਸ਼ਾ  ਦਾ  ਇਸ਼ਾਰਾ",0
3,"ਸੱਚ ਅਤੇ ਇਮਾਨਦਾਰੀ ਦਾ ਰਾਹ ਅਪਣਾਓ ,  ਸਫਲਤਾ ਦਾ  ਤੋਂ ਖੂਬਸੂਰਤ ਮੰਤਰ ਹੈ",0
4,ਤਰ੍ਹਾਂ ਚੱਲ ਰਹੇ ਖੇਤਰ ਵਿੱਚ ਚੱਲਣਾ ਸ਼ੁਰੂ ਹੁੰਦਾ ਹੈ ਜਿਵੇਂ ਫੇਫੜੇ ਮੂੰਹੋਂ ਬਾਹਰ  ਜਾਣਗੇ .,1
5,"ਭਰਾ , ਕੁੜੀਆਂ ਇੰਨੇ ਫਿੱਟ ਹੋਣ ਤੋਂ ਬਾਅਦ ਵੀ ਮੈਨੂੰ ਕਿਉਂ ਨਹੀਂ ਮਿਲਦੀਆਂ ?",1
6,"ਹਾਂ , ਤੁਹਾਡੀ ਖੋਜ ਕੁਝ ਹੋਰ ਹੋਣੀ ਚਾਹੀਦੀ ਸੀ ,   ਚੰਗੀ ਤਰ੍ਹਾਂ ਵੀ ਹੈ .",1
7,"ਜੇ ਤੁਸੀਂ  ਨਾਲ ਰਹਿਣਾ ਚਾਹੁੰਦੇ ਹੋ , ਤਾਂ ਆਪਣਾ  ਬੰਦ ਕਰੋ !",1
8,ਕਵੀ ਨੂੰ ਵਧੇਰੇ ਸ਼ਬਦਾਂ ਨੂੰ ਬਰਬਾਦ  ਤੋਂ ਪਹਿਲਾਂ ਕਵਿਤਾ ਲਿਖਣੀ ਬੰਦ  ਦੇਣੀ ਚਾਹੀਦੀ ਹੈ .,1
9,"ਕੋਈ ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ  ਦੂਜੇ ਦੀ  ਕਰਦਾ ਹੈ , ਕੋਈ ਵਾਰੀ ਨਹੀਂ !",1
10,"ਖੇਤ ਵਿੱਚ ਚੱਲ ਰਿਹਾ ਕਾਗਜ਼ 'ਤੇ ਵਧੀਆ ਦੌੜ ਹੈ , ਘੱਟੋ ਘੱਟ ਇੱਥੇ ਕੋਈ ਧੁੱਪ ਨਹੀਂ ਹੁੰਦੀ .",1
11,"ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ , ਲੋਕ ਦੂਜਿਆਂ ਦੀਆਂ ਜ਼ਿੰਦਗੀਆਂ ਵਿਚ ਇੰਨਾ ਜ਼ਿਆਦਾ  ਦਿੰਦੇ  ਕਿ  ਆਪਣੀ ਜਾਨ ਜਿਉਣਾ ਭੁੱਲ ਜਾਂਦੇ  !",1
12,"ਹੈ ਜੋ ਮੈਂ ਲੈਪਟਾਪ ਨਾਲ ਚਿੰਬੜ ਰਿਹਾ ਹਾਂ ,   ਇੱਕ ਪ੍ਰਦਰਸ਼ਨ ਹੈ ,  ਵਿੱਚ ਮੈਂ ਗੇਮ ਖੇਡਣ ਦੇ ਬਹਾਨੇ ਭਾਲ ਰਿਹਾ ਹਾਂ .",1
