,tamil_text,result
0,"இந்த வரைதல் மிகவும் மோசமானது , நான் அதை என் எதிரிக்குக் கூட காட்ட மாட்டேன்",1
1,முந்தைய வாழ்க்கையில் கூட ஆதாரங்களை நான் நினைவில் வைத்திருந்தேன் என்று நினைக்கிறேன் .,1
2,"இந்த புதிய மென்பொருளை இயக்க எத்தனை நாட்கள் ஆகும் , 5-6 ஆண்டுகள் மட்டுமே இருக்கும் , இல்லையா ?",1
3,என் நாயின் வரைதல் என்னை விட ஆக்கப்பூர்வமானது என்று நினைக்கிறேன்,1
4,எந்தவொரு திரைப்படத்திலும் அவர்களுடன் பணிபுரிவது ஒரு கனவு நிறைவேறியது போன்றது !,1
5,"உங்கள் ஆடை உணர்வு மிகவும் மோசமானது , நீங்கள் விளையாட்டையும் கெடுக்கிறீர்கள் .",1
6,தனிப்பட்ட வளர்ச்சி - எல்லோரும் எப்போதும் சிறந்த பயணத்தை பெறும் ஏதேனும் செயல்முறை உள்ளதா ?,1
7,"சமூக ஊடகங்களில் மக்கள் காட்ட விரும்புகிறார்கள் , நிஜ வாழ்க்கை வேறு விஷயம் !",1
8,"புன்னகை மிக அழகான நகைகள் , எப்போதும் அதை அணியுங்கள் , சிரிக்கவும்",0
9,"ஜிம்மில் வியர்த்தல் மூலம் , நான்  கலோரிகளை செலவிடுகிறேன் , நான் வீட்டிற்கு வந்து அவர்களிடமிருந்து அதிக கலோரிகளை நிரப்புகிறேன் !",1
10,"யோகாவின் உங்கள் தோரணை மிகவும் வக்கிரமாக இருக்கிறது , நீங்கள் ஒரு பேயுடன் தொடர்புகொள்கிறீர்கள் என்று தெரிகிறது .",1
11,"முதல் கவிதையை எழுதுதல் , இதயத்தின் ஆழமான மூலைகளில் மறைத்து வைக்கப்பட்டுள்ள ஒரு பறவையை விடுவித்தல்",0
12,"உடற்பயிற்சி செய்வதற்கு முன் , ஒருவர் சிந்திக்க வேண்டும் , இது உண்மையில் முக்கியமா ?",1
13,கணிதம் என்பது இரவும் பகலும் எண்களைச் சேர்ப்பது மற்றும் ஒருபோதும் முடிவடையாத செயல்பாடுகளைச் செய்வது என்று நான் நினைக்கிறேன் .,1
14,"உங்கள் விளக்கம் மிகவும் துல்லியமானது , அந்த நாயை சாலையில் பார்த்தேன் .",1
15,"இந்த படத்தின் இயக்குனர் அதிசயங்களைச் செய்துள்ளார் , கதை மிகவும் சுழற்றப்பட்டுள்ளது , பார்வையாளர்களின் மூளை தயிராக மாறியிருக்க வேண்டும் .",1
16,"சூரியன் மறுக்கிறது , பின்னர் வெளியே வருகிறது , ஒவ்வொரு சிரமமும் முடிவடைகிறது , நம்புங்கள்",0
17,"யுஃப் , உடற்பயிற்சி செய்த பிறகு , என் உடல் மிகவும் வருத்தமாக இருக்கிறது , என்னால் கூட  முடியாது . ( அச்சச்சோ , வேலை செய்தபின் என் உடல் மிகவும் வலிக்கிறது , என்னால் கூட  முடியாது . )",1
18,"புன்னகை மிக அழகான நகைகள் , எப்போதும் அதை அணியுங்கள் , சிரிக்கவும்",0
19,நீங்கள் அனைத்து வரைதல் விதிகளையும் உடைத்துள்ளீர்கள் !,1
20,"இப்போது தன்னார்வ தொண்டு நிறுவனங்களில் வேலை செய்ய வேண்டிய நேரம் இது , சமூக அறிவியலை மறந்துவிட்டு சமூகத்திற்கு வேலை செய்ய வேண்டிய நேரம் இது .",1
21,"இந்த ஓவியத்தைப் பார்க்கும்போது , ​​கலைஞர் அதை தனது கால்களால் உருவாக்கியுள்ளார் என்று தெரிகிறது",1
22,"மழைக்கு நிலம் மட்டுமல்ல , உறவுகளுக்கும் தேவை",0
23,"நடிப்புக்காக அவர்கள் ஆஸ்கார் விருதைப் பெற வேண்டும் , நன்றாக செயல்பட வேண்டும் !",1
24,"எல்லாவற்றிலும் குறுக்குவழிகளைக் கண்டறிதல் , கடின உழைப்பின் முக்கியத்துவத்தைப் புரிந்து கொள்ளவில்லை",1
25,"மற்றவர்களுக்கு உதவவும் , மகிழ்ச்சியைப் பகிர்ந்து கொள்ளவும் , அதிகரிக்கும் என்றும் கையை நீட்டிக்கவும்",0
26,"தவறுகளுடன் , ஒரு சிறந்த நபராக மாறுவதற்கான பாதையில் தொடர்ந்து நடந்து செல்லுங்கள்",0
27,"நடிகைகள் ஒருபோதும் யாரையும் நேசிக்கக்கூடாது , இது அவர்களின் இதயத்தை உடைக்கும் !",1
28,"சகோதரரே , இந்த தசைகள் இப்போது எஃகு விட வலுவாகிவிட்டன .",1
29,இந்த நாடக ஆசிரியருக்கு நாடக எழுதும் கலை தெரியாது .,1
30,"சமூக ஊடகங்களில் உள்ளவர்கள் தங்கள் கருத்தைக் கொடுக்க மிகவும் ஆசைப்படுகிறார்கள் , அவர்கள் மற்றவர்களைக் கேட்க மறந்துவிடுகிறார்கள் !",1
31,"சிறிய தருணங்களில் கூட குருவிகளின் பாடல்களைக் கண்டுபிடி , இது மிகவும் நிதானமானது , வெளிப்படையாக வாழ்க",0
32,"இந்த படத்திற்கு பதிலாக , அவர் அன்றைய முதுகலை அரங்கின் நாற்காலிகளை எடுத்துக்கொள்வார் .",1
33,அதிக உணவு நேரத்தைக் கொண்ட இது என்ன வகையான உடற்பயிற்சி ?,1
34,"இந்த இசை வீடியோவில்   நகர்வுகள் உள்ளன , அவற்றைக் கற்றுக்கொள்ள கூட முடியாது",1
35,"ஒவ்வொரு நாளும் புதிதாக ஒன்றை உருவாக்குங்கள் , விழித்திருங்கள் , விழித்திருங்கள் , முன்னேற்றம்",0
36,"சுயவிவரப் படத்தில் புன்னகை , உண்மையில் கண்களில் கிழிக்கவும் .",1
37,"இந்த நடனத்தில் மிகவும் நெகிழ்வுத்தன்மை உள்ளது , நடனக் கலைஞர்களும் காற்றில் நடனமாடலாம் .",1
38,"மலைகளின் உச்சியில் இருந்து சூரிய உதயம் , உங்கள் காலடியில் உலகைப் பார்க்கிறது",0
39,"எனது திரைப்பட வாழ்க்கையில் நான் மிகவும் மகிழ்ச்சியடைகிறேன் , எனக்கு எந்த புகாரும் இல்லை .",1
40,"மற்றவர்களுக்கு உதவவும் , மகிழ்ச்சியைப் பகிர்ந்து கொள்ளவும் , அதிகரிக்கும் என்றும் கையை நீட்டிக்கவும்",0
41,"`` படங்களை வைப்பதன் மூலமும் , அந்த தருணங்களை வாழ்வதன் மூலமும் உங்களுக்குச் சொல்வது முக்கியம் ! ''",1
42,நான் இன்று பளுதூக்குதலை மட்டுமே செய்வேன் என்று நினைக்கிறேன்.கார்டியோ சலிப்பை ஏற்படுத்துகிறது .,1
43,"உயிரியலில் இவ்வளவு அறிவு உள்ளது , நீங்கள் உங்கள் கைகளைப் பார்த்தால் , அவற்றில் ஒருபோதும் நுண்ணுயிரிகள் இருக்காது .",1
44,"தினமும் புதிதாக ஒன்றைக் கற்றுக் கொள்ளுங்கள் , அறிவின் விளக்கை ஏற்றி வைக்கவும் , இருளை அழிக்கவும்",0
45,"தாயின் மடியில் கனவு காண்பது , காதலில் வளர்ந்து உலகைத் தழுவுங்கள்",0
46,"உங்கள் வரைபடத்தைப் பார்த்து , கலைஞர்களுக்கு விமர்சனங்களைத் தாங்க வலுவான இதயம் இருக்க வேண்டும் என்பதை நான் புரிந்துகொண்டேன் .",1
47,"தவறுகளால் , ஒரு சிறந்த நபராக மாறுவதற்கான பாதையில் தொடர்ந்து நடந்து செல்லுங்கள்",0
48,கணிதம் என்பது இரவும் பகலும் எண்களைச் சேர்ப்பது மற்றும் ஒருபோதும் முடிவடையாத செயல்பாடுகளைச் செய்வது என்று நான் நினைக்கிறேன் .,1
49,"ஜிம்மில் மிகவும் கடினமாக உழைத்த பிறகும் , கண்ணாடியில் என்னைப் பார்த்த பிறகுதான் நான் சிரிக்கிறேன் !",1
50,இந்த வரைபடம் ஒரு குழந்தையால் தயாரிக்கப்பட்டதா ? மிகவும் அழகாக இருக்கிறது !,1
51,"நண்பர்களைத் தழுவுங்கள் , அவர்கள் வாழ்க்கையின் விலைமதிப்பற்றவர்கள் , ஒவ்வொரு கணத்தையும் கொண்டாடுகிறார்கள்",0
52,ஒருவேளை இந்த மக்கள் `` உடற்கல்வி '' என்ற பெயரில் `` நடனக் கல்லூரி '' எங்களுக்கு உணவளிக்கிறார்கள் .,1
53,"வெளிப்பாட்டைக் கொடுக்கும் பெயரில் , நீங்கள் மட்டுமே கோபப்படுகிறீர்களா , இது நடிப்பு ?",1
54,"காற்றில் உள்ள இலைகள் , வாழ்க்கையின் தனித்துவமான மெல்லிசையை குறுகலாக விவரிக்கிறது",0
55,"நான் எழுதும் நிரல்கள் எவ்வளவு அதிகமாக இருக்கும் என்று நினைக்கிறேன் , அது மிகவும் கடினம் .",1
56,"சூரியனைப் போல பளபளக்கவும் , மற்றவர்களின் பாதையை ஒளிரச் செய்யவும் , ஒளியைப் பரப்பவும்",0
57,"இயற்கையின் அழகில் தொலைந்து போய் , அமைதியை அனுபவிக்கவும்",0
58,"கயிறு ஜம்பிங்கின் இந்த செயல்திறனைப் பார்த்தால் , குழந்தை பருவத்தில் நீங்கள் வயதாகிவிட்டதாகத் தெரிகிறது .",1
59,"அழுகை காட்சி இருந்தால் , நீங்கள் தைலம் தடவினால் , ஒரு சிரிப்பு காட்சி இருந்தால் , நீங்கள் சாக்லேட் சாப்பிடுகிறீர்கள் , அவர்கள் நடிப்பு என்று அழைக்கப்படும் விஷயத்தை மறந்துவிட்டார்கள் !",1
60,இது ஒரு சிறு குழந்தையையும் உருவாக்கும் !,1
61,"நான் இன்று வென்றால் , நான் உங்களுக்கு ஒரு விருந்து தருகிறேன் ! ( இழப்புக்கு அஞ்சுகிறது )",1
